No,ARTICULO,EXIST,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 31 MAR,SEM 7 ABRIL,SEM 17 MAR, SEM 24 MAR,TOTAL,PROMEDIO,1 MES,2 MESES
88.0,HIGAVYT 5 10 ML EXTRTACTO DE HIGADO,12.0,,,,,,,,,,,,12.0,-2.0,10.0,,2026-10-01,0.0,,2024-12-01,2.0,1.0,1.0,1.0,5.0,1.25,5.0,10.0
89.0,IBUPROFENO FORTE 800 MGS CAJA X 100 BLIST X 10,103.0,,1.0,2.0,,,,1.0,,,,,99.0,-27.0,2.0,,2026-11-01,0.0,,2024-06-01,5.0,12.0,15.0,4.0,36.0,9.0,36.0,72.0
90.0,LANSOPRAZOL 30 MG BLIST X 10 CAJA X 50   INFASA,7.0,,,,,,,,,,,,7.0,7.0,19.0,BENDILCION,2027-09-01,5.0,3.0,2025-03-01,1.0,3.0,2.0,1.0,7.0,1.75,7.0,14.0
91.0,LECHE DE MAGNESIA PHILIPS 60 ML,4.0,,,,,,,,,,,,4.0,4.0,23.0,,2027-12-01,0.0,,2025-01-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
92.0,LIMPIA COLON FCO X 100 TABS,1.0,,,,,,,,,,,,1.0,7.0,40.0,,2028-12-01,0.0,,2024-08-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
93.0,LOFENAK (DICLO SOD 100 MGS) CAJA X 50 B BLIST X 10,12.0,,,,,,,,1.0,,,,11.0,3.0,7.0,,2025-07-01,20.0,,2023-02-01,2.0,1.0,3.0,1.0,7.0,1.75,7.0,14.0
94.0,LOMBRINIÑOS CAJA X 40 SOBRES ,14.0,,,,,,,,,,,,14.0,10.0,1.75,,2026-06-01,1.0,,2024-02-01,3.0,2.0,3.0,4.0,12.0,3.0,12.0,24.0
95.0,LORATADINA 10MG GEL CAPS CAJA X 100 BLIST X 10,2.0,,,,,,,,,,,,2.0,14.0,11.0,,2026-06-01,0.0,,2024-11-01,2.0,4.0,1.0,1.0,8.0,2.0,8.0,16.0
96.0,MAGNESIA SANTE  120 ML FCO,1.0,,,,,,,,,,,,1.0,7.0,15.0,,2026-02-01,0.0,,2024-03-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
97.0,MARIGUANOL BOTE,2.0,,,,,,1.0,,,,,,1.0,9.0,10.0,,2025-12-01,0.0,,2023-12-01,1.0,1.0,2.0,1.0,5.0,1.25,5.0,10.0
98.0,MELATONINA 5MGS FCO X 100 BOLSA X 10 VESA,10.0,,,,,,,,,3.0,,,7.0,15.0,13.0,,2027-09-01,2.0,,2024-12-01,2.0,3.0,3.0,3.0,11.0,2.75,11.0,22.0
99.0,MENOESTROGEN FRASCO X 30 TAB,1.0,,,,,,,,,,,,1.0,-1.0,50.0,,2026-01-01,1.0,,2024-07-01,,,,,0.0,0.0,0.0,0.0
100.0,MENTOL DAVIS MUESTRA,5.0,,,,,,,,,,1.0,,4.0,4.0,3.5,,2026-07-01,10.0,,2024-12-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
101.0,MIGRADORIXINA BLIST X 10 CAJA X 100,163.0,,,,,,,,,,4.0,,159.0,-91.0,4.7,,2025-12-01,1.0,,2024-12-01,3.0,22.0,5.0,4.0,34.0,8.5,34.0,68.0
102.0,NAUSEOL BLISTER X 10 TAB BONIN CAJA X 500,220.0,,,,,,,,,,,,220.0,-48.0,0.9,,2027-07-01,10.0,,2024-12-01,34.0,21.0,10.0,21.0,86.0,21.5,86.0,172.0
103.0,NEOBOL CREMA 30 GRS,1.0,,,,,,,,,,,,1.0,7.0,77.0,,2027-04-01,2.0,3.0,2025-03-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
104.0,NEOBOL SPRAY 30 ML,2.0,,,,,,,,,1.0,,,1.0,7.0,77.0,,2026-07-01,6.0,4.0,2025-03-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
105.0,NEOMELUBRINA AMPOLLA 2 ML,19.0,,,,,,,,,,,,19.0,1.0,8.0,,2026-10-01,0.0,,2024-07-01,2.0,5.0,1.0,2.0,10.0,2.5,10.0,20.0
106.0,NEOMELUBRINA CAJA X 100 BLIST X 4,123.0,,4.0,,,,,,,,8.0,,111.0,25.0,1.25,,2027-10-01,1.0,1.0,2025-03-01,8.0,28.0,20.0,12.0,68.0,17.0,68.0,136.0
107.0,NERVESSA PASTILLAS DISP  50,48.0,,,,,,1.0,,,,,,47.0,-25.0,3.5,COIDE,2027-11-01,0.0,1.0,2025-03-01,4.0,2.0,4.0,1.0,11.0,2.75,11.0,22.0
108.0,NERVOTIAMIN D SOBRE X 4 TAB CAJA X 100  ANCALMO,174.0,,7.0,,2.0,,5.0,,4.0,,5.0,,151.0,47.0,1.75,,2025-12-01,1.0,3.0,2025-03-01,41.0,32.0,2.0,24.0,99.0,24.75,99.0,198.0
109.0,NEUMONIL AMPOLLA 1 ML,15.0,,,,,,1.0,,,,,,14.0,10.0,10.0,,2028-10-01,10.0,30.0,2025-03-01,6.0,4.0,1.0,1.0,12.0,3.0,12.0,24.0
110.0,NEURO NERVIOL CAJA X 10 AMPOLLAS,1.0,,,,,,,,,,,,1.0,1.0,55.0,N/S,2025-12-01,1.0,,2023-11-01,,,,1.0,1.0,0.25,1.0,2.0
111.0,NEUROBION  CAJA X 120 TAB BLIST X 5,148.0,5.0,,,5.0,,3.0,,,,,,135.0,-39.0,4.0,,2027-08-01,0.0,,2025-01-01,18.0,7.0,10.0,13.0,48.0,12.0,48.0,96.0
112.0,"NEUROBION 25,000 1 DOSIS CAMARA",1.0,,,,,,,,,,,,1.0,9.0,77.0,,2027-12-01,2.0,,2024-08-01,1.0,1.0,2.0,1.0,5.0,1.25,5.0,10.0
113.0,"NEUROBION 25,000 KIT INYECTADO  1 AMP",3.0,,,,,,,,,,,,3.0,11.0,34.0,,2026-10-01,3.0,6.0,2025-03-01,2.0,2.0,2.0,1.0,7.0,1.75,7.0,14.0
114.0,NEXT BLIST X 10 CAJA X 20,76.0,,,,10.0,,2.0,,,,,,64.0,4.0,2.3,,2027-12-01,3.0,,2025-01-01,2.0,10.0,10.0,12.0,34.0,8.5,34.0,68.0
115.0,NIKSON CAJA X 90 BLIST X 10,76.0,,10.0,,,,,,,10.0,,,56.0,58.0,2.7,,2028-12-01,2.0,2.0,2025-03-01,14.0,13.0,10.0,20.0,57.0,14.25,57.0,114.0
116.0,NORMA CYCLE 28 FACO 240 ML (REGULADOR),1.0,,,,,,,,,,,,1.0,-1.0,25.0,,2027-01-01,3.0,,2025-01-01,,,,,0.0,0.0,0.0,0.0
117.0,OJO DE AGUILA CON VITA A 40 ML,2.0,,,,,,,,,,,,2.0,4.0,19.0,,2028-12-01,2.0,,2023-12-01,1.0,1.0,,1.0,3.0,0.75,3.0,6.0
