No,ARTICULO TIENDA,EXISTENCIA,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 31 MAR,SEM 7 ABRIL,SEM 17 MAR, SEM 24 MAR,TOTAL,PROMEDIO,1 MES,2 MESES
1,ACEITE DE COCO  SAN LUCAS 450 ML,2,,,,,,,,,,,,2,6,65.0,NOE,2027-12-01,1.0,,2025-02-01,1.0,1.0,1.0,1.0,4,1.0,4,8
2,ACETONA 100 ML DAROSA,3,,,,,,,,,,,,3,5,9.0,ESQUINITA,2026-03-01,1.0,,2022-06-01,1.0,1.0,1.0,1.0,4,1.0,4,8
3,ACETONA 60 ML DAROSA,4,,,,,,,1.0,,,,,3,9,5.0,ESQUINITA,2026-12-01,2.0,,2025-01-01,2.0,1.0,1.0,2.0,6,1.5,6,12
4,ALMENDRA ENTERA BOLSITA,4,,,,,1.0,,,,,,,3,5,10.0,PRICES,,0.0,,2023-06-01,1.0,1.0,1.0,1.0,4,1.0,4,8
5,ALMENDRA RAYADA BOLSITA,6,,,1.0,,,,,,,,,5,5,10.0,PRICES,,18.0,,2024-04-01,1.0,1.0,1.0,2.0,5,1.25,5,10
6,ARANDANOS BOLSA,3,,,,,3.0,,,,,,,0,16,10.0,PRICES,,2.0,,2023-08-01,1.0,1.0,5.0,1.0,8,2.0,8,16
7,BATERIA RAYOVAC DOBLE A X 6,6,,,,,,,,,,,,6,6,5.5,WILLY,,2.0,,2023-07-01,4.0,2.0,,,6,1.5,6,12
8,BATERIA RAYOVAC TRIPLE A X 6,6,,,,,,,,,,,,6,2,5.5,WILLY,,2.0,,2024-09-01,1.0,1.0,1.0,1.0,4,1.0,4,8
9,BLOQUADOR SOLAR RADICAL F60 120 GRS,1,,,,,,,,,,,,1,5,80.0,ESQUINITA,2025-11-01,2.0,,2024-03-01,1.0,1.0,1.0,,3,0.75,3,6
10,BLOQUEADOR INSIGNIS SOLAR 70 GRS,3,,,,,,,,,,,,3,5,30.0,WILLY,2026-01-01,6.0,,2024-10-01,1.0,1.0,1.0,1.0,4,1.0,4,8
11,CHICLE TRIDENT,8,,,,,,,,,,,,8,0,10.0,SILOE,,42.0,,2023-11-01,1.0,1.0,1.0,1.0,4,1.0,4,8
12,CHICLES BUBA BUBA METRO,2,,,,,,,,,,,,2,6,14.0,NOE,,0.0,,2024-06-01,1.0,1.0,1.0,1.0,4,1.0,4,8
13,CHISPITAS DE CHOCOLATES ,4,,,2.0,,,,,,,,,2,16,12.0,PRICES,,2.0,,2023-01-01,2.0,2.0,1.0,4.0,9,2.25,9,18
14,CHOCOLATE HERSHEYS BLANCO PEQ,19,,,,,,,,,,1.0,,18,0,1.5,PRICES,,50.0,,2023-02-01,2.0,2.0,3.0,2.0,9,2.25,9,18
