ID,PRODUCTO,INV,COST,PRESENTACION COSTO,PP,VC,FC,UBICA,FF,QUE ES,P QUE S,DOSIFICA,PA
136,PRENATALES PLUS 6 BLIS X 5 CAJA X 30 CAP CONAMEP,22.0,6.57,BLISTER,11.0,2027-08-01,2025-01-01,,,,,,
137,PROSTALINE CAJA X 30 BLISTER X 10 CAP,3.0,11.833,BLISTER,20.0,2026-08-01,2024-12-01,,,,,,
138,PRUDENCE ANILLOS Y PUNTOS CAJA X 3 PERSERVATIVOS,2.0,14.9,CAJA,25.0,2027-10-01,2024-12-01,,,,,,
139,"PRUDENCE CAJA X 3   MENTA, FRESA,CHOCOLATE,UVA",6.0,14.15,CAJA,24.0,2027-11-01,2024-08-01,,,,,,
140,PRUDENCE CLASICO SOBRE X 3 PERSERVATIVO,2.0,11.75,CAJA,20.0,2028-05-01,2024-09-01,,,,,,
141,PRUDENCE RETARDANTE SOBRE X 3 PERSERVATIVOS ,2.0,20.95,CAJA,35.0,2027-02-01,2024-09-01,,,,,,
142,PRUDENCE SENSITIVE SOBRE X 3 PERSERVATIVOS ,1.0,16.1,CAJA,27.0,2026-10-01,2024-09-01,,,,,,
143,RELAX PLUS CAJA X 30 CAPS BLIST X 10 CONAMEP,32.0,0.88,BLISTER,1.5,2027-06-01,2025-01-01,,,,,,
144,SAL INGLESA SOBRE X 25 VESA,32.0,0.302,SOBRE,1.0,2027-01-01,2025-01-01,,,,,,
145,SECNIDAZOL 125 MG SUSP FCO X 30 ML,2.0,13.4,FRASCO,23.0,2025-06-01,2023-09-01,,,,,,
146,SECNIDAZOL 500 MG X 4 TAB ARGUS,7.0,3.54,CAJA,9.0,2026-06-01,2024-10-01,,,,,,
147,SECNIDAZOL 500 MG X 4 TAB CAPLIN,6.0,4.43,CAJA,8.0,2026-08-01,2024-07-01,,,,,,
148,SECNIDAZOL SUSP 125 MG 5ML CAPLIN ,3.0,11.0,FRASCO,20.0,2026-07-01,2024-06-01,,,,,,
149,SEGURA PLUS ,5.0,13.2,CAJA,23.0,2029-02-01,2024-12-01,,,,,,
150,SENOSIDOS  CAJA X 30 BLIST X 10 CONAMEP,133.0,0.57,BLISTER,1.0,2026-08-01,2024-10-01,,,,,,
151,SOSTENGO SILDENAFIL 100MG CAJA X 24 SOB Y CAJITA X 2 TAB,11.0,4.92,CAJA,10.0,2026-11-01,2024-12-01,,,,,,
152,SPASMOCLOR (CLORDIA+BROM DE CLID) BLISX 20 CJA X 100,107.0,0.939,BLISTER,1.6,2025-05-01,2024-07-01,,,,,,
153,SPORT GEL FORTE 30 GRS,2.0,11.25,TUBO,20.0,2026-06-01,2024-08-01,,,,,,
154,SULFATO DE SODA X 16 SOBRES DISFAVIL,7.0,0.28,RU,0.5,,2022-09-01,,,,,,
155,SULFATO FERROSO 350 MG BLIST X 10 SELEC,6.0,1.62,BLISTER,3.0,2026-05-01,2024-03-01,,,,,,
156,SUPOSITORIOS ACETAMINF 300MG CAPLIN,5.0,1.44,UNIDAD,3.0,2025-09-01,2023-04-01,,,,,,
157,TELMISARTAN 80 MG CAJA X 30 BLIST X 10,3.0,26.72,BLISTER,44.0,2026-06-01,2024-12-01,,,,,,
158,TETRACICLINA 500 MG BLISTER X 10 CAJA X 100,11.0,3.09,BLISTER,7.0,2027-03-01,2024-12-01,,,,,,
159,TRIMETOSE VIJOSA 120ML JARABE,5.0,21.95,FRASCO,35.0,2026-12-01,2024-12-01,,,,,,
160,"TRIPLE C FLUID CAJA X 30 SOBRES (ACETIL,PIRIDOXINA, VIT C)",29.0,8.298,SASHET,15.0,2026-09-01,2024-09-01,,,,,,
161,UNIACT KIT (medroxiprogesterona 150m) CA,1.0,33.3,KIT,60.0,2025-08-01,2024-07-01,,,,,,
162,VALSARTAN 160 CAJA X 30  BLIST X 10 TAB CAPLIN,2.0,21.08,BLISTER,46.66,2026-03-01,2024-03-01,,,,,,
163,VIRO GRIP AM SOBRE X 2 GEL CAP CAJA X 24,39.0,2.81,SOBRE,5.0,2026-06-01,2025-01-01,,,,,,
164,VIRO GRIP GRIPE Y TOS JBE 120 ML,6.0,21.55,FRASCO,35.0,2027-05-01,2024-12-01,,,,,,
165,VIRO GRIP PM SOBRE X 2 GEL CAP CAJA X 24,44.0,2.81,SOBRE,5.0,2026-05-01,2024-12-01,,,,,,
166,VIROGRIP NF LIMON POLVO AM X 24 SOBRES,20.0,3.047,SOBRE,5.0,2026-02-01,2024-11-01,,,,,,
167,VIROGRIP NF LIMON POLVO PM X 24 SOBRES,22.0,3.05,SOBRE,5.0,2026-04-01,2024-10-01,,,,,,
168,VITAMINA K AMPOLLA SELEC,5.0,4.3,AMPOLLA,8.0,2027-07-01,2025-01-01,,,,,,
169,VITAMINAS PARA DIABETICOS CAJA X 30  BLIST X 10 GELCAPS,4.0,15.38,BLISTER,25.0,2026-06-01,2023-04-01,,,,,,
170,WARFARINA 5 MG BLIST X 10 ,20.0,1.195,BLISTER,2.5,2026-07-01,2024-12-01,,,,,,
171,ZETAWIN FORTE 1G CAJA X 20 TAB BLIST X 10,14.0,3.337,BLISTER,5.7,2026-06-01,2024-08-01,,,,,,
172,ZINC 15 MG GEL BLISTER X 10  CAJA X 50,6.0,3.95,BLISTER,7.0,2027-07-01,2024-11-01,,,,,,
173,ZINC 20 MG CAJA X 100  BLIST X 10 TAB CAPLIN,9.0,2.5,BLISTER,4.0,2025-06-01,2024-03-01,,,,,,
174,ZINKVANZ (ZINC)10MG/5ML JBE 120ML SEVEN ,1.0,41.05,FRASCO,69.0,2027-07-01,2025-01-01,,,,,,
175,ZORRIPULMIN 240 ML ,2.0,22.8,FRASCO,36.0,2025-10-01,2023-11-01,,,,,,
176,ZORRITONE JARABE 120 ML ,2.0,20.95,FRASCO,33.0,2026-02-01,2024-11-01,,,,,,
