No,ARTICULO,EXISTENCIA,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 28 ABRIL,SEM 5 MAYO,SEM 12 MAYO, SEM 21 ABRIL,TOTAL,PROMEDIO,1 MES,2 MESES
78.0,GINKO BILOBA+G BLIST X 10 CAJA X 50 GEL CAPS  CONAMEP,27.0,,,,,,,,,,,,27,73,2.0,,2027-02-01,0.0,,2025-03-01,10.0,20.0,10.0,10.0,50,12.5,50,100
79.0,GINSENG JALEA REAL CAJA X 10 ML CAPLIN,1.0,,,,,,,,,,,,1,7,35.0,,2025-10-01,1.0,,2025-01-01,1.0,1.0,1.0,1.0,4,1.0,4,8
80.0,GLICITOS JBE FCO X 120 ML ,4.0,,,,,,1.0,,,,,,3,11,19.0,,2027-09-01,2.0,,2025-04-01,2.0,1.0,2.0,2.0,7,1.75,7,14
81.0,GLUXICAM SOBRE CAJA X 14 (MELOXICAM + GLUCOS),20.0,,,,,,,,,,,,20,2,9.0,,2026-04-01,0.0,,2025-02-01,3.0,4.0,1.0,3.0,11,2.75,11,22
82.0,GRIIN VITAMIN LIQUIPACK SOBRE CAJA X 12 ,1.0,,,,,,,,,,,,1,7,75.0,,2026-02-01,2.0,,2025-03-01,1.0,1.0,1.0,1.0,4,1.0,4,8
83.0,GUAYATOS FCO X 120 ML ,8.0,,,,,,,,,,,,8,14,13.0,,2028-05-01,13.0,,2025-04-01,2.0,3.0,2.0,4.0,11,2.75,11,22
84.0,HIDROCLOROTIAZIDA 50 MG BLIST X 10 CAJA X 100 CAPLIN ,11.0,,,,,,,,,,,,11,5,5.0,,2027-04-01,0.0,,2025-01-01,2.0,1.0,4.0,1.0,8,2.0,8,16
85.0,IBUPROFEN 400 MGS BLISTER X 10  CAJA X 100 ARGUS ,13.0,,,,,,,,,,,,13,3,4.0,,2027-07-01,0.0,,2025-02-01,3.0,1.0,2.0,2.0,8,2.0,8,16
86.0,IBUPROFEN 600 MGS BLISTER X 10 CAJA X 100  ARGUS,20.0,,1.0,,1.0,,,,,,,,18,26,5.0,,2026-12-01,3.0,,2025-04-01,10.0,7.0,2.0,3.0,22,5.5,22,44
87.0,IBUPROFEN 800 MGS BLISTER X 10 CAJA X 100 ARGUS,18.0,,,1.0,,,,,,1.0,,,16,42,7.0,,2026-10-01,2.0,,2025-04-01,6.0,6.0,7.0,10.0,29,7.25,29,58
88.0,IBUWIN 400 GEL CAPS BLIST X 10  CAJA X 50,1.0,,,,,1.0,,,,,,,0,120,1.0,,2027-05-01,0.0,,2025-02-01,10.0,10.0,10.0,30.0,60,15.0,60,120
89.0,IBUWIN 600 GEL CAPS BLIST X 10 CAJA X 100 ,144.0,,,,,,,,,,,,144,36,1.4,BENDI,2026-04-01,0.0,,2027-04-01,30.0,20.0,10.0,30.0,90,22.5,90,180
