No,ARTICULO TIENDA,EXISTENCIA,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 28 ABRIL,SEM 5 MAYO,SEM 12 MAYO, SEM 21 ABRIL,TOTAL,PROMEDIO,1 MES,2 MESES
86,PROTECTORES  SENSATION  X 12,1,,,,,,,,,1.0,,,0,10,4.0,ESQUINITA,,0.0,,2021-07-01,1.0,2.0,1.0,1.0,5,1.25,5,10
87,PROTECTORES KOTEX X 20,1,,,,,,,,,,,,1,7,12.0,PRICES,,7.0,,2025-02-01,1.0,1.0,1.0,1.0,4,1.0,4,8
88,PROTECTORES KOTEX X 20 EXTRA LARGO,0,,,,,,,,,,,,0,10,12.0,PRICES,,0.0,,2023-02-01,2.0,1.0,1.0,1.0,5,1.25,5,10
89,PROTECTORES PANTI KOTEX X 44,0,,,,,,,,,,,,0,8,18.0,H Y D,,4.0,,2023-09-01,1.0,1.0,1.0,1.0,4,1.0,4,8
90,RELLERINDOS MIX BOLSA X 80,137,,7.0,1.0,2.0,1.0,,,,,,,126,242,1.0,SILOE,2025-09-01,2.0,,2025-03-01,54.0,22.0,58.0,50.0,184,46.0,184,368
91,REPELENTE OFF CREMA FAMILIAR 200 ML,2,,,,,,,,,,,,2,6,65.0,H Y D,2026-08-01,1.0,,2024-10-01,1.0,1.0,1.0,1.0,4,1.0,4,8
92,REPELENTE OFF LIQUIDO 177 ML,2,,,,,,,,,,,,2,8,50.0,ESQUINITA,2026-09-01,0.0,,2024-10-01,1.0,1.0,1.0,2.0,5,1.25,5,10
93,REPELENTE OFF SPRAY 170 GRS,3,,,,,,,,,,,,3,5,65.0,ESQUINITA,2026-05-01,1.0,,2024-10-01,1.0,1.0,1.0,1.0,4,1.0,4,8
94,RING POP,3,,,,,,,,,,,,3,13,5.0,PRICES,,29.0,,2023-02-01,2.0,1.0,1.0,4.0,8,2.0,8,16
95,SHAMPOO JOHNSON 200 ML,1,,,,,,,,,,,,1,5,35.0,ESQUINITA,,0.0,,,,1.0,1.0,1.0,3,0.75,3,6
96,SHAMPOO JOHNSON 400 ML,2,,,,,,,,,,,,2,6,55.0,ESQUINITA,,3.0,,2023-05-01,1.0,1.0,1.0,1.0,4,1.0,4,8
97,SHAMPOO JOHNSON 400 ML MANZANILLA,0,,,,,,,,,,,,0,6,72.0,ESQUINITA,,0.0,,2023-01-01,1.0,1.0,,1.0,3,0.75,3,6
98,SHAMPOO TIO NACHO 415 ML ACLARANTE,1,,,,,,,,,,,,1,3,61.0,BENDICION,2026-10-01,1.0,,2025-01-01,1.0,,,1.0,2,0.5,2,4
